id_mantenimiento,id_vehiculo,fecha_mantenimiento,tipo_mantenimiento,descripcion_mantenimiento,costo_mantenimiento
1,1,2021-08-21 17:13:57,correctivo,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",111427.11
2,7,2020-10-06 21:58:47,preventivo,Nullam porttitor lacus at turpis.,239278.54
3,2,2020-04-03 20:54:02,preventivo,Proin at turpis a pede posuere nonummy. Integer non velit.,47307.57
4,2,2022-02-23 00:53:39,correctivo,Phasellus id sapien in sapien iaculis congue.,248900.04
5,5,2022-01-12 23:26:29,preventivo,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",157514.14
6,8,2021-07-21 21:36:49,preventivo,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",163210.65
7,5,2024-03-08 01:49:33,preventivo,In quis justo.,136064.24
8,4,2023-03-25 19:26:10,preventivo,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,272271.2
9,5,2021-05-30 05:15:58,preventivo,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",46691.81
10,3,2022-03-08 23:51:33,correctivo,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",196212.66
11,4,2023-04-03 11:48:37,preventivo,Nulla ac enim.,97730.45
12,8,2023-05-23 22:52:57,preventivo,Etiam faucibus cursus urna. Ut tellus.,213834.46
13,4,2021-06-07 21:13:30,correctivo,Aenean fermentum.,74171.74
14,4,2020-01-17 12:36:59,preventivo,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",237719.74
15,6,2020-04-18 03:08:26,preventivo,Phasellus sit amet erat.,27724.03
16,5,2023-04-04 14:46:25,correctivo,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,89525.48
17,3,2023-04-29 08:03:39,preventivo,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,226051.16
18,1,2021-05-25 12:00:34,correctivo,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",216318.01
19,3,2020-04-21 16:04:44,correctivo,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,106122.84
20,8,2023-04-25 19:16:13,correctivo,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",163155.01
21,8,2021-06-29 18:16:11,correctivo,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,153193.9
22,8,2021-03-14 14:30:20,preventivo,Vivamus in felis eu sapien cursus vestibulum.,21728.12
23,7,2023-11-26 13:30:57,correctivo,Integer ac neque.,15624.94
24,3,2023-07-23 03:21:54,preventivo,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,329129.22
25,10,2023-12-30 18:56:10,correctivo,Nullam molestie nibh in lectus.,171232.68
26,10,2023-03-14 13:21:34,correctivo,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,278746.18
27,3,2024-02-05 03:55:47,preventivo,Ut at dolor quis odio consequat varius.,241614.16
28,4,2024-08-22 00:18:51,preventivo,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",148144.41
29,8,2021-04-29 06:28:08,correctivo,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",163178.35
30,2,2023-08-16 15:31:04,preventivo,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,255096.01
31,5,2021-09-16 11:44:47,preventivo,Proin at turpis a pede posuere nonummy.,133396.92
32,10,2020-12-20 01:01:38,correctivo,Duis mattis egestas metus. Aenean fermentum.,333456.88
33,5,2024-06-14 10:07:58,preventivo,In quis justo.,130381.01
34,10,2020-03-19 20:45:19,correctivo,Nullam varius. Nulla facilisi.,271365.1
35,8,2023-05-01 14:05:05,correctivo,Nam tristique tortor eu pede.,246081.33
36,5,2021-11-28 06:05:32,preventivo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",13782.27
37,7,2022-01-05 14:19:23,preventivo,Nullam varius.,263108.44
38,8,2020-10-25 15:45:20,preventivo,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",102136.6
39,10,2022-10-23 15:33:48,preventivo,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",345919.08
40,1,2020-04-26 06:07:10,correctivo,Integer ac neque.,346473.99
41,6,2024-04-21 20:17:27,correctivo,Cras non velit nec nisi vulputate nonummy.,258479.1
42,6,2022-11-16 22:18:29,preventivo,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,194882.37
43,5,2022-08-16 08:15:09,preventivo,Curabitur gravida nisi at nibh.,304023.92
44,2,2023-06-23 15:37:24,preventivo,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,102344.5
45,9,2021-10-05 07:36:50,correctivo,Morbi non quam nec dui luctus rutrum.,35117.4
46,10,2021-02-12 01:03:02,correctivo,In congue. Etiam justo.,267168.03
47,9,2021-07-27 03:35:47,correctivo,Aliquam quis turpis eget elit sodales scelerisque.,82939.36
48,8,2022-05-30 21:18:32,correctivo,Fusce posuere felis sed lacus.,233435.1
