id_pedido,fecha_pedido,id_cliente,descripcion_pedido,peso,volumen,estado_pedido
1,2020-04-24 08:48:18,136,Nulla tellus. In sagittis dui vel nisl.,75,1.2,pendiente
2,2021-02-13 22:54:42,17,Quisque porta volutpat erat.,120,6.0,entregado
3,2021-10-14 22:38:30,117,Pellentesque at nulla.,75,4.8,en transito
4,2020-04-04 03:24:43,60,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,90,4.8,entregado
5,2020-02-17 15:08:50,62,Sed sagittis.,120,8.0,cancelado
6,2023-12-17 13:20:06,93,Proin at turpis a pede posuere nonummy. Integer non velit.,75,4.0,pendiente
7,2022-10-23 20:37:53,108,Fusce posuere felis sed lacus.,45,2.5,pendiente
8,2021-08-13 01:00:16,134,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",45,6.0,cancelado
9,2023-05-30 06:34:00,98,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",45,3.1,cancelado
10,2024-05-01 17:00:25,114,Quisque id justo sit amet sapien dignissim vestibulum.,110,4.0,pendiente
11,2022-12-07 23:09:24,144,In hac habitasse platea dictumst.,75,4.8,en transito
12,2020-04-04 11:25:29,141,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",135,6.0,entregado
13,2021-09-19 16:14:14,86,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",45,9.1,pendiente
14,2024-05-17 11:34:38,93,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",135,8.0,entregado
15,2020-08-15 23:14:07,147,Pellentesque at nulla.,120,7.2,cancelado
16,2022-10-02 10:23:50,25,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,135,6.0,en transito
17,2020-07-01 08:12:22,21,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,45,1.2,pendiente
18,2021-02-08 04:41:35,150,Nam tristique tortor eu pede.,120,5.5,cancelado
19,2020-12-27 05:24:21,116,Pellentesque ultrices mattis odio.,110,2.5,en transito
20,2021-10-23 23:20:56,26,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",135,4.0,cancelado
21,2024-07-17 00:05:58,42,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",45,5.5,cancelado
22,2022-06-01 08:17:41,85,Sed ante. Vivamus tortor.,110,5.5,entregado
23,2020-12-12 01:36:18,84,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",110,5.5,pendiente
24,2023-06-09 05:12:31,140,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,45,5.5,cancelado
25,2021-01-20 15:39:09,148,In hac habitasse platea dictumst.,15,5.5,en transito
26,2023-10-28 13:34:59,43,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,120,4.0,cancelado
27,2023-10-17 18:55:14,86,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,110,6.0,pendiente
28,2021-05-30 18:28:59,137,Morbi vel lectus in quam fringilla rhoncus.,45,3.1,entregado
